Incident_ID,Tourist_ID,Incident_Type,Severity,Location,Reported_Date,Resolved
423,701,Lost Item,Medium,Airport,2025-07-31 00:00:00,No
424,108,Medical Emergency,Medium,Market,2025-07-31 12:00:00,Yes
425,482,Medical Emergency,High,Monument,2025-08-01 00:00:00,No
426,163,Medical Emergency,High,Monument,2025-08-01 12:00:00,No
427,668,Medical Emergency,Medium,Monument,2025-08-02 00:00:00,No
428,388,Theft,Low,Airport,2025-08-02 12:00:00,No
429,196,Lost Item,Medium,Monument,2025-08-03 00:00:00,No
430,213,Theft,Medium,Monument,2025-08-03 12:00:00,No
431,621,Lost Item,Low,Airport,2025-08-04 00:00:00,No
432,441,Medical Emergency,Medium,Hotel,2025-08-04 12:00:00,No
433,128,Lost Item,Medium,Hotel,2025-08-05 00:00:00,No
434,536,Crowd Issue,Low,Market,2025-08-05 12:00:00,No
435,674,Crowd Issue,Low,Hotel,2025-08-06 00:00:00,No
436,840,Medical Emergency,Medium,Hotel,2025-08-06 12:00:00,No
437,35,Medical Emergency,High,Market,2025-08-07 00:00:00,Yes
438,783,Theft,High,Airport,2025-08-07 12:00:00,No
439,948,Theft,Low,Airport,2025-08-08 00:00:00,No
440,372,Theft,High,Hotel,2025-08-08 12:00:00,Yes
441,799,Medical Emergency,Low,Beach,2025-08-09 00:00:00,No
442,411,Medical Emergency,High,Airport,2025-08-09 12:00:00,No
443,679,Crowd Issue,Low,Market,2025-08-10 00:00:00,Yes
444,680,Crowd Issue,Low,Airport,2025-08-10 12:00:00,No
445,152,Theft,Medium,Airport,2025-08-11 00:00:00,Yes
446,683,Medical Emergency,Medium,Market,2025-08-11 12:00:00,Yes
447,92,Lost Item,Low,Airport,2025-08-12 00:00:00,Yes
448,354,Medical Emergency,High,Airport,2025-08-12 12:00:00,Yes
449,405,Accident,Medium,Market,2025-08-13 00:00:00,Yes
450,208,Theft,High,Airport,2025-08-13 12:00:00,No
451,493,Lost Item,High,Market,2025-08-14 00:00:00,No
452,396,Crowd Issue,High,Monument,2025-08-14 12:00:00,No
453,389,Medical Emergency,Medium,Market,2025-08-15 00:00:00,Yes
454,351,Theft,High,Hotel,2025-08-15 12:00:00,Yes
455,582,Lost Item,Medium,Beach,2025-08-16 00:00:00,No
456,444,Theft,High,Monument,2025-08-16 12:00:00,Yes
457,704,Medical Emergency,High,Airport,2025-08-17 00:00:00,Yes
458,577,Crowd Issue,Low,Monument,2025-08-17 12:00:00,Yes
459,146,Medical Emergency,Medium,Monument,2025-08-18 00:00:00,No
460,380,Lost Item,Medium,Monument,2025-08-18 12:00:00,No
461,900,Theft,Medium,Market,2025-08-19 00:00:00,No
462,52,Crowd Issue,High,Market,2025-08-19 12:00:00,Yes
463,161,Theft,High,Monument,2025-08-20 00:00:00,Yes
464,449,Theft,Medium,Hotel,2025-08-20 12:00:00,No
465,251,Medical Emergency,High,Monument,2025-08-21 00:00:00,No
466,482,Theft,Medium,Hotel,2025-08-21 12:00:00,Yes
467,187,Crowd Issue,High,Beach,2025-08-22 00:00:00,Yes
468,875,Lost Item,Medium,Beach,2025-08-22 12:00:00,No
469,947,Theft,Low,Airport,2025-08-23 00:00:00,Yes
470,833,Lost Item,Medium,Market,2025-08-23 12:00:00,No
471,109,Accident,Low,Beach,2025-08-24 00:00:00,Yes
472,196,Medical Emergency,Medium,Hotel,2025-08-24 12:00:00,Yes
473,194,Theft,Medium,Monument,2025-08-25 00:00:00,No
474,528,Crowd Issue,High,Beach,2025-08-25 12:00:00,Yes
475,967,Lost Item,High,Hotel,2025-08-26 00:00:00,No
476,785,Crowd Issue,Medium,Market,2025-08-26 12:00:00,Yes
477,176,Accident,High,Monument,2025-08-27 00:00:00,No
478,378,Accident,High,Market,2025-08-27 12:00:00,Yes
479,450,Medical Emergency,Low,Beach,2025-08-28 00:00:00,No
480,229,Crowd Issue,Medium,Hotel,2025-08-28 12:00:00,Yes
481,652,Lost Item,Low,Beach,2025-08-29 00:00:00,Yes
482,913,Accident,Medium,Beach,2025-08-29 12:00:00,No
483,184,Accident,Medium,Hotel,2025-08-30 00:00:00,No
484,563,Medical Emergency,High,Beach,2025-08-30 12:00:00,No
485,228,Accident,High,Market,2025-08-31 00:00:00,Yes
486,47,Accident,Medium,Airport,2025-08-31 12:00:00,Yes
487,427,Theft,Medium,Monument,2025-09-01 00:00:00,Yes
488,27,Lost Item,Low,Hotel,2025-09-01 12:00:00,Yes
489,41,Theft,Medium,Market,2025-09-02 00:00:00,No
490,441,Theft,Low,Monument,2025-09-02 12:00:00,No
491,421,Crowd Issue,Low,Beach,2025-09-03 00:00:00,Yes
492,337,Accident,High,Market,2025-09-03 12:00:00,Yes
493,531,Medical Emergency,Low,Market,2025-09-04 00:00:00,No
494,936,Crowd Issue,Medium,Airport,2025-09-04 12:00:00,Yes
495,329,Medical Emergency,Medium,Market,2025-09-05 00:00:00,Yes
496,9,Medical Emergency,High,Airport,2025-09-05 12:00:00,Yes
497,446,Lost Item,High,Beach,2025-09-06 00:00:00,No
498,476,Lost Item,Low,Hotel,2025-09-06 12:00:00,No
499,285,Crowd Issue,High,Market,2025-09-07 00:00:00,Yes
500,494,Theft,Medium,Monument,2025-09-07 12:00:00,Yes
